City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
39,Kaitangata,NZ,2022-05-12 15:20:13,-46.2817,169.8464,46.81,82,98,6.02
40,Carnarvon,AU,2022-05-12 15:20:13,-24.8667,113.6333,69.87,88,100,19.57
41,East London,ZA,2022-05-12 15:20:14,-33.0153,27.9116,68.94,88,0,1.14
42,Cape Town,ZA,2022-05-12 15:17:21,-33.9258,18.4232,63.12,67,40,17.27
43,Beloha,MG,2022-05-12 15:20:14,-25.1667,45.05,67.64,69,0,10.6
44,Mataura,NZ,2022-05-12 15:20:15,-46.1927,168.8643,48.47,88,100,2.06
45,Castro,BR,2022-05-12 15:20:15,-24.7911,-50.0119,65.32,61,0,1.95
46,Thompson,CA,2022-05-12 15:17:09,55.7435,-97.8558,48.36,49,40,5.75
47,Marsh Harbour,BS,2022-05-12 15:20:16,26.5412,-77.0636,74.23,65,3,1.07
48,Mtwara,TZ,2022-05-12 15:20:16,-10.2667,40.1833,78.58,70,2,12.44
49,Faanui,PF,2022-05-12 15:20:17,-16.4833,-151.75,80.71,77,20,18.03
50,Isangel,VU,2022-05-12 15:21:17,-19.55,169.2667,74.71,62,100,19.39
51,Kupang,ID,2022-05-12 15:21:18,-10.1667,123.5833,76.69,88,12,5.03
52,Sola,VU,2022-05-12 15:21:18,-13.8833,167.55,77.23,89,100,20.6
53,Jamestown,US,2022-05-12 15:21:19,42.097,-79.2353,76.51,31,0,5.75
54,Saskylakh,RU,2022-05-12 15:21:19,71.9167,114.0833,13.95,90,8,11.16
55,Fortuna,US,2022-05-12 15:21:20,40.5982,-124.1573,48.97,91,75,10.36
56,Broome,US,2022-05-12 15:21:20,42.2506,-75.833,78.71,35,0,9.22
57,Barrow,US,2022-05-12 15:21:21,71.2906,-156.7887,26.62,80,100,9.22
58,Cidreira,BR,2022-05-12 15:21:21,-30.1811,-50.2056,63.99,67,13,10.96
59,Port-Gentil,GA,2022-05-12 15:21:22,-0.7193,8.7815,84.16,79,40,9.22
60,Synya,RU,2022-05-12 15:21:22,65.3718,58.0387,46.02,87,100,12.97
61,Tautira,PF,2022-05-12 15:21:22,-17.7333,-149.15,80.02,79,31,18.14
62,Tuatapere,NZ,2022-05-12 15:21:23,-46.1333,167.6833,49.01,84,100,3.98
63,Kaduqli,SD,2022-05-12 15:21:23,11.0167,29.7167,85.44,55,92,9.78
64,Lozova,UA,2022-05-12 15:21:24,48.8894,36.3176,67.46,49,74,13.71
65,Pevek,RU,2022-05-12 15:21:24,69.7008,170.3133,6.71,95,76,8.75
66,Te Anau,NZ,2022-05-12 15:21:24,-45.4167,167.7167,46.15,87,100,0.78
67,Kirovsk,UA,2022-05-12 15:21:25,48.6375,38.6428,66.45,49,17,14.12
68,Bethel,US,2022-05-12 15:21:25,41.3712,-73.414,76.35,72,100,11.5
69,Beringovskiy,RU,2022-05-12 15:21:26,63.05,179.3167,31.53,82,75,6.44
70,Butaritari,KI,2022-05-12 15:21:26,3.0707,172.7902,79.7,84,93,14.34
71,Ponta Do Sol,PT,2022-05-12 15:21:26,32.6667,-17.1,74.03,77,8,2.21
72,Alofi,NU,2022-05-12 15:21:27,-19.0595,-169.9187,73.29,100,95,2.3
73,Kodiak,US,2022-05-12 15:21:27,57.79,-152.4072,42.31,70,40,8.05
74,Ribeira Grande,PT,2022-05-12 15:21:28,38.5167,-28.7,64.8,55,75,12.66
75,Nieuw Amsterdam,SR,2022-05-12 15:21:28,5.8833,-55.0833,87.03,72,40,11.5
76,Bengkulu,ID,2022-05-12 15:21:28,-3.8004,102.2655,77.4,89,100,5.93
77,Lida,BY,2022-05-12 15:21:29,53.8833,25.2997,58.35,70,17,17.96
78,Port Elizabeth,ZA,2022-05-12 15:21:29,-33.918,25.5701,66.09,78,0,12.66
79,Ilulissat,GL,2022-05-12 15:21:30,69.2167,-51.1,24.82,54,20,6.91
80,College Station,US,2022-05-12 15:21:30,30.628,-96.3344,80.94,74,40,11.5
81,Saldanha,ZA,2022-05-12 15:21:31,-33.0117,17.9442,66.25,62,67,7.29
82,Manaure,CO,2022-05-12 15:21:31,11.7751,-72.4445,86.43,62,96,17.49
83,Vaini,TO,2022-05-12 15:21:31,-21.2,-175.2,71.76,73,20,11.5
84,Bronnoysund,NO,2022-05-12 15:21:32,65.4625,12.1997,46.4,87,75,18.41
85,Arraial Do Cabo,BR,2022-05-12 15:21:32,-22.9661,-42.0278,73.36,88,75,12.66
86,Saint-Philippe,RE,2022-05-12 15:21:33,-21.3585,55.7679,76.59,76,76,8.25
87,Bluff,NZ,2022-05-12 15:21:33,-46.6,168.3333,48.79,82,100,14.99
88,Kutum,SD,2022-05-12 15:21:33,14.2,24.6667,96.35,6,100,15.32
89,Nan,TH,2022-05-12 15:21:34,18.8333,100.6667,75.02,95,98,1.97
90,Tiksi,RU,2022-05-12 15:21:34,71.6872,128.8694,17.22,90,59,8.95
91,Maumere,ID,2022-05-12 15:21:35,-8.6199,122.2111,79.97,79,21,1.05
92,San Carlos De Bariloche,AR,2022-05-12 15:21:35,-41.1456,-71.3082,49.75,71,75,6.91
93,Mayor Pablo Lagerenza,PY,2022-05-12 15:22:35,-19.9309,-60.7718,81.93,33,0,5.26
94,Bilma,NE,2022-05-12 15:22:36,18.6853,12.9164,103.3,9,0,16.75
