WeatherPy_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
100,Hobyo,5.3505,48.5268,81.9,81,98,28.19,Clouds,SO,2022-05-13 19:17:22
101,Marawi,7.9986,124.2928,70.41,90,100,2.37,Clouds,PH,2022-05-13 19:17:22
102,Bethel,41.3712,-73.414,82.18,69,75,10.36,Clouds,US,2022-05-13 19:17:22
103,Verkhnevilyuysk,63.4453,120.3167,25.84,83,14,8.77,Clouds,RU,2022-05-13 19:17:23
104,Kahului,20.8947,-156.47,82.42,44,20,10.0,Clouds,US,2022-05-13 19:17:23
105,Barrow,71.2906,-156.7887,17.62,86,100,13.8,Snow,US,2022-05-13 19:17:23
106,Hrodna,53.6884,23.8258,50.04,86,79,4.7,Clouds,BY,2022-05-13 19:13:45
107,Kavaratti,10.5669,72.642,84.56,76,84,14.5,Rain,IN,2022-05-13 19:15:14
108,Husavik,66.0449,-17.3389,32.14,88,100,7.99,Snow,IS,2022-05-13 19:17:24
109,Cidreira,-30.1811,-50.2056,65.37,66,22,5.3,Clouds,BR,2022-05-13 19:17:24
110,Port Lincoln,-34.7333,135.8667,64.4,75,98,19.53,Clouds,AU,2022-05-13 19:17:25
111,Port Elizabeth,-33.918,25.5701,64.09,75,0,12.66,Clear,ZA,2022-05-13 19:17:25
112,Adrar,20.5022,-10.0711,95.97,8,7,8.95,Clear,MR,2022-05-13 19:17:25
113,Te Anau,-45.4167,167.7167,52.02,97,100,4.38,Rain,NZ,2022-05-13 19:15:14
114,Victoria,22.2855,114.1577,77.95,96,99,4.0,Rain,HK,2022-05-13 19:17:01
115,Dunedin,-45.8742,170.5036,50.81,82,100,6.89,Rain,NZ,2022-05-13 19:12:48
116,Broken Hill,-31.95,141.4333,59.25,70,100,9.26,Clouds,AU,2022-05-13 19:17:26
117,Qaanaaq,77.484,-69.3632,19.58,73,72,0.92,Clouds,GL,2022-05-13 19:17:26
118,Sitka,57.0531,-135.33,48.09,71,20,3.44,Clouds,US,2022-05-13 19:17:27
119,Nikolskoye,59.7035,30.7861,51.71,67,65,11.07,Clouds,RU,2022-05-13 19:12:57
120,Butaritari,3.0707,172.7902,80.4,74,100,10.27,Clouds,KI,2022-05-13 19:17:27
121,Berlevag,70.8578,29.0864,35.55,75,40,13.8,Clouds,NO,2022-05-13 19:17:27
122,Benguela,-12.5763,13.4055,74.7,86,5,5.59,Clear,AO,2022-05-13 19:17:28
123,Erie,42.7667,-78.6664,85.01,48,80,3.0,Clouds,US,2022-05-13 19:17:28
124,Alofi,-19.0595,-169.9187,75.09,64,100,9.22,Clouds,NU,2022-05-13 19:17:28
125,Palana,59.1167,159.9667,36.03,86,100,5.03,Clouds,RU,2022-05-13 19:17:29
126,Nerchinskiy Zavod,51.3088,119.61,31.86,94,75,3.06,Clouds,RU,2022-05-13 19:17:29
127,Pangai,-19.8,-174.35,75.31,60,20,6.91,Clouds,TO,2022-05-13 19:17:29
128,Melbu,68.5044,14.8297,42.62,87,100,12.66,Rain,NO,2022-05-13 19:17:30
129,Castro,-24.7911,-50.0119,70.59,54,0,0.87,Clear,BR,2022-05-13 19:17:30
130,Hasaki,35.7333,140.8333,70.29,90,100,27.89,Clouds,JP,2022-05-13 19:17:30
131,Vredendal,-31.6683,18.5012,53.8,87,5,6.35,Clear,ZA,2022-05-13 19:17:31
132,Tsalka,41.5946,44.0891,42.64,88,3,4.23,Clear,GE,2022-05-13 19:17:31
133,Mount Isa,-20.7333,139.5,53.37,100,0,0.0,Clear,AU,2022-05-13 19:17:31
134,Muros,42.7762,-9.0603,72.68,68,100,3.24,Clouds,ES,2022-05-13 19:17:32
135,Dzaoudzi,-12.7887,45.2699,80.49,78,0,8.05,Clear,YT,2022-05-13 19:17:32
136,Ourossogui,15.6064,-13.3211,101.3,10,83,5.97,Clouds,SN,2022-05-13 19:18:33
137,Haimen,23.1935,116.6142,73.29,98,100,3.33,Rain,CN,2022-05-13 19:18:33
138,Linxia,35.6003,103.2064,39.43,96,100,3.65,Rain,CN,2022-05-13 19:18:34
139,Madang,-5.2246,145.7966,76.06,91,59,3.22,Clouds,PG,2022-05-13 19:18:34
